{'ID': '#0', 'x': -1.117, 'y': 0.417, 'yaw': 1.163, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.495, 'yaw': 1.372, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
{'ID': '#0', 'x': -1.067, 'y': 0.578, 'yaw': 1.113, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
{'ID': '#0', 'x': -1.03, 'y': 0.653, 'yaw': 1.567, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
{'ID': '#0', 'x': -1.029, 'y': 0.738, 'yaw': 2.085, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
{'ID': '#0', 'x': -1.029, 'y': 0.738, 'yaw': 2.403, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
{'ID': '', 'x': 0.868, 'y': -0.067, 'yaw': 5.627, 'bx': 0.724, 'by': -0.799, 'bytes': 4}
{'ID': '', 'x': 0.883, 'y': -0.317, 'yaw': 5.627, 'bx': 0.724, 'by': -0.799, 'bytes': 4}
{'ID': '', 'x': 0.894, 'y': -0.326, 'yaw': 5.47, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.914, 'y': -0.348, 'yaw': 5.262, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.937, 'y': -0.385, 'yaw': 5.011, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.95, 'y': -0.426, 'yaw': 4.818, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.954, 'y': -0.47, 'yaw': 4.602, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.949, 'y': -0.513, 'yaw': 4.502, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.94, 'y': -0.556, 'yaw': 4.346, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.925, 'y': -0.596, 'yaw': 4.025, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.897, 'y': -0.63, 'yaw': 3.784, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.874, 'y': -0.647, 'yaw': 3.815, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.83, 'y': -0.682, 'yaw': 4.074, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
{'ID': '', 'x': 0.78, 'y': -0.75, 'yaw': 4.225, 'bx': 0.457, 'by': -0.958, 'bytes': 4}
